Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:35:47,2021-12-21 23:35:49,"1,707s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:35:49,2021-12-21 23:35:49,"0,188s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:35:49,2021-12-21 23:35:51,"1,570s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:35:51,2021-12-21 23:35:51,"0,765s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:35:51,2021-12-21 23:35:52,"0,482s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:35:52,2021-12-21 23:35:52,"0,443s",PASSED
"podswietlona_historia_rozmow = getCSSValue(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_chat""), ""opacity"")",Chrome 96.0.4664.110,,,2021-12-21 23:35:52,2021-12-21 23:35:53,"0,775s",PASSED
"verifyMatch(podswietlona_historia_rozmow, ""1"", true)",Chrome 96.0.4664.110,,,2021-12-21 23:35:53,2021-12-21 23:35:53,"0,003s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-21 23:35:53,2021-12-21 23:35:54,"1,054s",PASSED
,,,,,,,
Test Cases/komunikator testy logowanie/L8,Chrome 96.0.4664.110,,,2021-12-21 23:35:54,2021-12-21 23:36:14,"19,781s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:35:55,2021-12-21 23:35:57,"1,989s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:35:57,2021-12-21 23:35:57,"0,211s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:35:57,2021-12-21 23:35:59,"1,757s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:35:59,2021-12-21 23:36:00,"0,798s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:00,2021-12-21 23:36:00,"0,487s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:00,2021-12-21 23:36:00,"0,408s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:00,2021-12-21 23:36:01,"0,893s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:01,2021-12-21 23:36:02,"0,799s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:02,2021-12-21 23:36:03,"0,571s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:03,2021-12-21 23:36:04,"1,056s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:04,2021-12-21 23:36:04,"0,561s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_close""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:04,2021-12-21 23:36:05,"0,888s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:36:05,2021-12-21 23:36:06,"0,852s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:06,2021-12-21 23:36:07,"0,532s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:07,2021-12-21 23:36:07,"0,500s",PASSED
waitForAlert(2),Chrome 96.0.4664.110,,,2021-12-21 23:36:07,2021-12-21 23:36:08,"0,513s",PASSED
alert_text = getAlertText(),Chrome 96.0.4664.110,,,2021-12-21 23:36:08,2021-12-21 23:36:08,"0,013s",PASSED
"verifyEqual(alert_text, ""Podano błędną nazwę użytkownika lub hasło!"")",Chrome 96.0.4664.110,,,2021-12-21 23:36:08,2021-12-21 23:36:08,"0,003s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:36:08,2021-12-21 23:36:08,"0,732s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:08,2021-12-21 23:36:09,"0,519s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:09,2021-12-21 23:36:09,"0,478s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Chrome 96.0.4664.110,,,2021-12-21 23:36:09,2021-12-21 23:36:10,"0,773s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:36:10,2021-12-21 23:36:11,"0,719s",PASSED
